"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地)","住宅地","13115","東京都","杉並区","阿佐谷北","阿佐ケ谷","9",35000000,"720000","","160",220000,"不整形","2.0","","","","","住宅","南西","私道",2.5,"第１種低層住居専用地域",50,100,"2018年第４四半期","",""
2,"宅地(土地)","住宅地","13115","東京都","杉並区","阿佐谷北","阿佐ケ谷","13",15000000,"870000","","55",260000,"ほぼ長方形","4.0","","","","","住宅","南","道路",1.0,"近隣商業地域",80,300,"2018年第４四半期","",""
3,"宅地(土地)","住宅地","13115","東京都","杉並区","阿佐谷北","阿佐ケ谷","12",43000000,"2500000","","55",760000,"ほぼ正方形","7.3","","","","","住宅","東","私道",4.0,"近隣商業地域",80,400,"2018年第４四半期","",""
4,"宅地(土地と建物)","住宅地","13115","東京都","杉並区","阿佐谷北","阿佐ケ谷","16",59000000,"","","90",,"長方形","8.7","85","平成23年","木造","住宅","住宅","北","区道",4.0,"第１種低層住居専用地域",50,100,"2018年第４四半期","",""
5,"宅地(土地と建物)","住宅地","13115","東京都","杉並区","阿佐谷北","阿佐ケ谷","11",100000000,"","","95",,"ほぼ正方形","10.5","95","平成30年","木造","住宅","住宅","南東","区道",4.5,"第１種低層住居専用地域",50,100,"2018年第４四半期","",""
6,"宅地(土地と建物)","住宅地","13115","東京都","杉並区","阿佐谷北","阿佐ケ谷","11",83000000,"","","120",,"不整形","4.0","105","平成30年","木造","住宅","住宅","北東","区道",4.0,"第１種低層住居専用地域",50,100,"2018年第４四半期","",""
7,"宅地(土地と建物)","住宅地","13115","東京都","杉並区","阿佐谷北","阿佐ケ谷","11",94000000,"","","95",,"長方形","8.7","95","平成30年","木造","住宅","住宅","北東","私道",4.0,"第１種低層住居専用地域",50,100,"2018年第４四半期","",""
8,"宅地(土地と建物)","住宅地","13115","東京都","杉並区","阿佐谷北","阿佐ケ谷","9",87000000,"","","90",,"台形","10.2","105","平成30年","木造","住宅","住宅","南東","区道",4.0,"第１種低層住居専用地域",60,150,"2018年第４四半期","",""
9,"宅地(土地と建物)","住宅地","13115","東京都","杉並区","阿佐谷北","阿佐ケ谷","10",130000000,"","","230",,"ほぼ長方形","15.0","155","","","","住宅","西","区道",4.4,"第１種低層住居専用地域",50,100,"2018年第４四半期","",""
10,"宅地(土地と建物)","住宅地","13115","東京都","杉並区","阿佐谷北","阿佐ケ谷","2",84000000,"","","65",,"ほぼ長方形","","65","平成28年","木造","共同住宅","住宅","東","私道",4.0,"商業地域",80,500,"2018年第４四半期","",""
11,"中古マンション等","","13115","東京都","杉並区","阿佐谷北","阿佐ケ谷","8",37000000,"","１Ｒ","40",,"","","","平成19年","ＲＣ","住宅","住宅","","",,"第１種低層住居専用地域",60,150,"2018年第４四半期","改装済",""
12,"中古マンション等","","13115","東京都","杉並区","阿佐谷北","阿佐ケ谷","14",45000000,"","２ＬＤＫ","50",,"","","","平成3年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,300,"2018年第４四半期","改装済",""
