,uid,years,minutes,sqrm,distance,renovate,express,price,predict
0,13101-1,34,3,35,2.983801459,0,0,24000000,31119812.52665709
1,13101-2,37,4,20,2.983801459,0,0,13000000,16908433.7074062
2,13101-4,34,3,30,2.983801459,0,0,22000000,27141814.444952823
3,13101-5,35,1,70,2.983801459,0,0,69000000,59777339.969257794
4,13101-6,34,3,25,2.983801459,0,0,21000000,23163816.363248557
5,13101-7,12,4,70,2.983801459,0,0,81000000,70057086.94446799
6,13101-8,37,4,45,2.983801459,1,0,45000000,39987663.86828496
7,13101-9,35,1,55,2.983801459,1,0,66000000,51032585.47650242
8,13101-10,16,5,20,2.983801459,0,0,19000000,27464974.656486463
9,13101-11,7,3,45,2.983801459,0,0,37000000,53513974.90368627
10,13101-12,16,5,20,2.983801459,0,0,18000000,27464974.656486463
11,13101-14,35,1,55,2.983801459,1,0,65000000,51032585.47650242
12,13101-15,20,4,55,2.983801459,0,0,53000000,53845117.524949074
13,13101-17,35,1,55,2.983801459,0,0,56000000,47843345.72414499
14,13101-18,34,3,20,2.983801459,0,0,15000000,19185818.281544287
15,13101-19,12,4,70,2.983801459,1,0,93000000,73246326.69682543
16,13101-21,12,4,85,2.983801459,0,0,100000000,81991081.1895808
17,13101-22,35,1,55,2.983801459,1,0,66000000,51032585.47650242
18,13101-23,35,1,55,2.983801459,0,0,51000000,47843345.72414499
19,13101-26,35,1,55,2.983801459,0,0,60000000,47843345.72414499
20,13101-29,12,4,65,2.983801459,0,0,78000000,66079088.86276373
21,13101-30,37,2,25,2.983801459,0,0,22000000,22232719.556582056
22,13101-31,12,4,70,2.983801459,0,0,99000000,70057086.94446799
23,13101-163,17,10,20,1.223423006,1,1,19000000,28528671.366845652
24,13101-164,17,10,20,1.223423006,0,1,20000000,25339431.614488225
25,13101-227,14,3,20,1.223423006,0,1,26000000,31655679.491041087
26,13101-228,14,2,20,1.223423006,0,1,25000000,32328823.374776885
27,13101-229,14,2,20,1.223423006,0,1,24000000,32328823.374776885
28,13101-230,14,2,20,1.223423006,0,1,27000000,32328823.374776885
29,13101-234,40,6,20,1.223423006,1,1,15000000,18922068.275371242
30,13101-235,40,6,15,1.223423006,1,1,14000000,14944070.193666974
31,13101-237,14,2,20,1.223423006,0,1,24000000,32328823.374776885
32,13101-238,14,2,20,1.223423006,0,1,24000000,32328823.374776885
33,13101-239,14,2,20,1.223423006,0,1,25000000,32328823.374776885
34,13101-242,40,4,15,1.223423006,0,1,14000000,13101118.20878114
35,13101-243,14,3,20,1.223423006,0,1,23000000,31655679.491041087
36,13101-244,40,4,15,1.223423006,0,1,14000000,13101118.20878114
37,13101-245,40,4,20,1.223423006,0,1,14000000,17079116.29048541
38,13101-246,40,4,25,1.223423006,0,1,16000000,21057114.37218968
39,13101-249,14,2,20,1.223423006,0,1,22000000,32328823.374776885
40,13101-250,18,4,20,1.223423006,0,1,19000000,28843548.020102233
41,13101-252,40,4,15,1.223423006,0,1,13000000,13101118.20878114
42,13101-358,42,10,60,1.998921954,1,1,57000000,46444168.912542254
43,13101-373,6,4,25,2.552352467,0,0,27000000,37763911.59755785
44,13101-375,21,4,75,2.552352467,1,0,77000000,72711928.71494648
45,13101-376,10,7,40,2.552352467,0,0,41000000,45539486.604260206
46,13101-378,6,4,40,2.552352467,0,0,39000000,49697905.84267065
47,13101-379,17,4,20,2.552352467,0,0,25000000,27903697.65104517
48,13101-380,17,4,20,2.552352467,0,0,24000000,27903697.65104517
49,13101-381,6,4,40,2.552352467,0,0,37000000,49697905.84267065
50,13101-382,17,4,20,2.552352467,0,0,20000000,27903697.65104517
51,13101-384,12,6,40,2.552352467,1,0,43000000,48332376.4467519
52,13101-386,17,4,25,2.552352467,0,0,18000000,31881695.732749436
53,13101-476,14,4,20,1.223423006,0,1,24000000,30982535.607305292
54,13101-478,14,3,20,1.223423006,0,1,27000000,31655679.491041087
55,13101-479,14,3,20,1.223423006,0,1,25000000,31655679.491041087
56,13101-481,14,3,20,1.223423006,0,1,25000000,31655679.491041087
57,13101-489,14,4,20,1.223423006,0,1,20000000,30982535.607305292
58,13101-491,44,4,20,1.998921954,0,1,15000000,14400314.015363919
59,13101-492,44,4,20,1.998921954,0,1,18000000,14400314.015363919
60,13101-495,42,3,15,1.998921954,0,1,15000000,12164953.610996976
61,13101-496,42,3,15,1.998921954,1,1,14000000,15354193.363354404
62,13101-497,42,3,15,1.998921954,0,1,11000000,12164953.610996976
63,13101-498,42,3,15,1.998921954,0,1,13000000,12164953.610996976
64,13101-499,44,4,15,1.998921954,0,1,13000000,10422315.93365965
65,13101-501,44,5,15,1.998921954,0,1,7800000,9749172.049923852
66,13101-502,44,4,20,1.998921954,0,1,18000000,14400314.015363919
67,13101-503,42,3,25,1.998921954,0,1,22000000,20120949.774405513
68,13101-506,44,4,20,1.998921954,0,1,16000000,14400314.015363919
69,13101-519,14,3,25,1.223423006,0,1,26000000,35633677.57274535
70,13101-520,14,3,25,1.223423006,0,1,26000000,35633677.57274535
71,13101-521,15,4,20,1.223423006,0,1,24000000,30447788.710504528
72,13101-522,12,4,30,1.223423006,0,1,35000000,40008025.56431536
73,13101-523,15,4,20,1.223423006,0,1,20000000,30447788.710504528
74,13101-524,12,4,20,1.223423006,1,1,31000000,35241269.15326425
75,13101-525,15,4,20,1.223423006,0,1,22000000,30447788.710504528
76,13101-527,14,2,25,1.223423006,0,1,30000000,36306821.45648115
77,13101-528,15,3,45,1.223423006,1,1,47000000,54200162.755119085
78,13101-530,12,4,20,1.223423006,0,1,25000000,32052029.400906824
79,13101-531,12,4,20,1.223423006,0,1,30000000,32052029.400906824
80,13101-533,12,4,20,1.223423006,0,1,27000000,32052029.400906824
81,13101-535,12,4,50,1.223423006,0,1,57000000,55920017.89113243
82,13101-536,14,3,25,1.223423006,0,1,23000000,35633677.57274535
83,13101-537,12,2,20,1.223423006,0,1,28000000,33398317.168378413
84,13101-538,15,3,20,1.223423006,0,1,25000000,31120932.594240323
85,13101-539,12,4,20,1.223423006,0,1,25000000,32052029.400906824
86,13101-542,12,4,30,1.223423006,0,1,31000000,40008025.56431536
87,13101-543,14,3,25,1.223423006,0,1,25000000,35633677.57274535
88,13101-562,7,3,40,1.223423006,0,1,43000000,51310900.095463514
89,13101-563,7,3,40,1.223423006,0,1,35000000,51310900.095463514
90,13101-567,8,4,40,1.223423006,0,1,45000000,50103009.31492695
91,13101-568,8,4,30,1.223423006,1,1,27000000,45336252.90387584
92,13101-603,14,4,20,1.223423006,0,1,21000000,30982535.607305292
93,13101-604,14,4,20,1.223423006,0,1,21000000,30982535.607305292
94,13101-605,14,4,20,1.223423006,0,1,22000000,30982535.607305292
95,13101-615,21,2,25,2.552352467,0,0,27000000,31088995.91301797
96,13101-616,14,5,20,2.552352467,0,0,24000000,28834794.457711667
97,13101-617,8,5,40,2.552352467,0,0,37000000,47955268.16533333
98,13101-620,6,3,35,2.552352467,0,0,45000000,46393051.64470218
99,13101-621,8,5,30,2.552352467,0,0,33000000,39999272.00192479
100,13101-622,21,2,25,2.552352467,0,0,33000000,31088995.91301797
101,13101-623,14,5,20,2.552352467,0,0,24000000,28834794.457711667
102,13101-625,8,5,40,2.552352467,0,0,39000000,47955268.16533333
103,13101-627,6,3,35,2.552352467,0,0,43000000,46393051.64470218
104,13101-636,14,4,40,2.9601475510000004,0,0,36000000,45136069.83702569
105,13101-638,4,2,65,2.9601475510000004,0,0,120000000,71719816.98102626
106,13101-639,40,11,20,2.9601475510000004,0,0,15000000,10608651.00723816
107,13101-643,14,4,60,2.9601475510000004,1,0,64000000,64237301.91620019
108,13101-644,40,11,20,2.9601475510000004,0,0,14000000,10608651.00723816
109,13101-647,21,4,20,2.9601475510000004,0,0,20000000,25480849.232603263
110,13101-666,19,6,20,2.9601475510000004,1,0,23000000,28393295.01109063
111,13101-671,19,8,50,2.9601475510000004,1,0,71000000,50914995.733844645
112,13101-673,19,6,20,2.9601475510000004,0,0,15000000,25204055.2587332
113,13101-674,11,4,60,2.9601475510000004,0,0,77000000,62652302.85424506
114,13101-675,11,4,60,2.9601475510000004,0,0,80000000,62652302.85424506
115,13101-676,21,8,60,2.9601475510000004,0,0,67000000,54612258.35129423
116,13101-677,16,6,30,2.9601475510000004,0,0,29000000,34764292.11254403
117,13101-678,19,8,50,2.9601475510000004,0,0,55000000,47725755.981487215
118,13101-679,11,4,60,2.9601475510000004,1,0,82000000,65841542.60660249
119,13101-681,21,8,75,2.9601475510000004,0,0,97000000,66546252.59640703
120,13101-683,21,8,60,2.9601475510000004,0,0,67000000,54612258.35129423
121,13101-685,34,2,35,2.9601475510000004,1,0,36000000,34998661.33913514
122,13101-686,6,2,70,2.9601475510000004,0,0,110000000,74628321.26912901
123,13101-689,19,8,50,2.9601475510000004,0,0,65000000,47725755.981487215
124,13101-690,6,2,70,2.9601475510000004,1,0,94000000,77817561.02148643
125,13101-730,2,2,50,3.246960267,0,1,97000000,61205216.771239795
126,13101-732,5,4,80,2.9601475510000004,0,0,130000000,81772776.56186673
127,13101-734,48,3,65,2.9601475510000004,0,0,60000000,47517809.63805682
128,13101-735,40,1,65,2.9601475510000004,1,0,66000000,56331312.33229196
129,13101-736,48,3,30,2.9601475510000004,0,0,30000000,19671823.066126943
130,13101-737,48,3,105,2.9601475510000004,1,0,96000000,82531034.0440484
131,13101-738,5,4,75,2.9601475510000004,0,0,130000000,77794778.48016244
132,13101-739,19,3,25,2.9601475510000004,1,0,29000000,34390724.74400228
133,13101-740,37,3,25,2.9601475510000004,0,0,18000000,21576040.84923109
134,13101-741,16,3,85,2.9601475510000004,0,0,140000000,80541702.66249837
135,13101-742,5,4,45,2.9601475510000004,1,0,69000000,57116029.74229427
136,13101-743,37,3,80,2.9601475510000004,0,0,86000000,65334019.74797804
137,13101-744,48,3,65,2.9601475510000004,0,0,58000000,47517809.63805682
138,13101-746,16,3,50,2.9601475510000004,1,0,100000000,55884955.84292592
139,13101-747,16,3,90,2.9601475510000004,0,0,120000000,84519700.74420264
140,13101-748,34,3,55,2.9601475510000004,0,0,48000000,47048270.02985899
141,13101-749,50,5,55,2.9601475510000004,0,0,48000000,37146031.913575165
142,13101-750,49,6,30,2.9601475510000004,1,0,24000000,20306884.270476222
143,13101-751,34,3,25,2.9601475510000004,0,0,20000000,23180281.539633386
144,13101-752,50,5,45,2.9601475510000004,1,0,44000000,32379275.502524056
145,13101-753,18,6,130,2.9601475510000004,0,0,97000000,113254759.95302787
146,13101-754,50,5,55,2.9601475510000004,0,0,45000000,37146031.913575165
147,13101-755,50,5,55,2.9601475510000004,1,0,50000000,40335271.665932596
148,13101-756,16,4,20,2.9601475510000004,0,0,20000000,28154583.716607086
149,13101-757,34,3,20,2.9601475510000004,1,0,20000000,22391523.210286546
150,13101-758,34,3,20,2.9601475510000004,1,0,23000000,22391523.210286546
