sid,station,express,distance,latitude,longitude
1,東京,1,0,35.681382,139.766084
2,神田,1,1.223423006,35.69169,139.770883
3,御茶ノ水,1,1.998921954,35.699385,139.765248
4,水道橋,0,2.552352467,35.70203,139.753653
5,飯田橋,0,2.983801459,35.702065,139.745015
6,市ヶ谷,0,2.960147551,35.691008,139.735585
7,四ツ谷,1,3.246960267,35.686014,139.730667
8,信濃町,0,4.152266259,35.68009,139.720243
9,千駄ヶ谷,0,4.946347595,35.68117,139.711444
10,代々木,0,5.80032883,35.683061,139.702042
11,新宿,1,6.051806582,35.690921,139.700258
12,大久保,0,6.580371345,35.700722,139.697358
13,東中野,0,7.768447716,35.70623,139.685842
14,中野,1,9.492733962,35.706032,139.665652
15,高円寺,0,10.8508634,35.705385,139.649867
16,阿佐ヶ谷,0,12.12192561,35.704773,139.635263
17,荻窪,1,13.47331293,35.704632,139.619981
18,西荻窪,0,15.29485589,35.703842,139.599361
19,吉祥寺,0,17.02754961,35.702811,139.579804
20,三鷹,1,18.72812462,35.702708,139.560831
21,武蔵境,0,20.15478498,35.70228,139.54489
22,東小金井,0,21.95318781,35.701743,139.524831
23,武蔵小金井,0,23.60463644,35.701351,139.50645
24,国分寺,1,25.95603852,35.700256,139.480257
25,西国分寺,0,27.2642905,35.699769,139.465714
26,国立,0,29.00351351,35.699002,139.446385
27,立川,1,31.92562844,35.697899,139.413957
